sales_month,region_name,product_name,channel_name,sales_amount
2022-04-01,Jawa Barat,Tempra,General Trade,6729.401
2022-04-01,Jawa Barat,Tempra,Modern Trade,5872.501
2022-04-01,Jawa Barat,Tempra,E-commerce,4000.826
2022-04-01,Jawa Barat,Tempra,Hospitals & Institutions,2605.496
2022-04-01,Jawa Barat,Bodrex Flu & Batuk,General Trade,7549.743
2022-04-01,Jawa Barat,Bodrex Flu & Batuk,Modern Trade,6439.203
2022-04-01,Jawa Barat,Bodrex Flu & Batuk,E-commerce,4483.421
2022-04-01,Jawa Barat,Bodrex Flu & Batuk,Hospitals & Institutions,3012.76
2022-04-01,Jawa Barat,Hemaviton C1000,General Trade,5867.478
2022-04-01,Jawa Barat,Hemaviton C1000,Modern Trade,5149.648
2022-04-01,Jawa Barat,Hemaviton C1000,E-commerce,3386.489
2022-04-01,Jawa Barat,Hemaviton C1000,Hospitals & Institutions,2277.252
2022-04-01,Jawa Barat,Vidoran Smart,General Trade,4853.948
2022-04-01,Jawa Barat,Vidoran Smart,Modern Trade,4246.066
2022-04-01,Jawa Barat,Vidoran Smart,E-commerce,2845.368
2022-04-01,Jawa Barat,Vidoran Smart,Hospitals & Institutions,2010.252
2022-04-01,Jawa Barat,Marina Skin Care,General Trade,4436.997
2022-04-01,Jawa Barat,Marina Skin Care,Modern Trade,3919.588
2022-04-01,Jawa Barat,Marina Skin Care,E-commerce,2628.952
2022-04-01,Jawa Barat,Marina Skin Care,Hospitals & Institutions,1771.29
2022-04-01,Jawa Timur,Tempra,General Trade,4017.478
2022-04-01,Jawa Timur,Tempra,Modern Trade,3385.226
2022-04-01,Jawa Timur,Tempra,E-commerce,2293.484
2022-04-01,Jawa Timur,Tempra,Hospitals & Institutions,1555.64
2022-04-01,Jawa Timur,Bodrex Flu & Batuk,General Trade,4575.681
2022-04-01,Jawa Timur,Bodrex Flu & Batuk,Modern Trade,3867.737
2022-04-01,Jawa Timur,Bodrex Flu & Batuk,E-commerce,2604.433
2022-04-01,Jawa Timur,Bodrex Flu & Batuk,Hospitals & Institutions,1761.324
2022-04-01,Jawa Timur,Hemaviton C1000,General Trade,3348.135
2022-04-01,Jawa Timur,Hemaviton C1000,Modern Trade,2969.477
2022-04-01,Jawa Timur,Hemaviton C1000,E-commerce,1996.714
2022-04-01,Jawa Timur,Hemaviton C1000,Hospitals & Institutions,1408.847
2022-04-01,Jawa Timur,Vidoran Smart,General Trade,2873.54
2022-04-01,Jawa Timur,Vidoran Smart,Modern Trade,2551.603
2022-04-01,Jawa Timur,Vidoran Smart,E-commerce,1744.297
2022-04-01,Jawa Timur,Vidoran Smart,Hospitals & Institutions,1187.604
2022-04-01,Jawa Timur,Marina Skin Care,General Trade,2643.059
2022-04-01,Jawa Timur,Marina Skin Care,Modern Trade,2246.827
2022-04-01,Jawa Timur,Marina Skin Care,E-commerce,1519.382
2022-04-01,Jawa Timur,Marina Skin Care,Hospitals & Institutions,1030.578
2022-04-01,Jawa Tengah,Tempra,General Trade,2868.208
2022-04-01,Jawa Tengah,Tempra,Modern Trade,2530.872
2022-04-01,Jawa Tengah,Tempra,E-commerce,1673.708
2022-04-01,Jawa Tengah,Tempra,Hospitals & Institutions,1115.238
2022-04-01,Jawa Tengah,Bodrex Flu & Batuk,General Trade,3326.179
2022-04-01,Jawa Tengah,Bodrex Flu & Batuk,Modern Trade,2936.354
2022-04-01,Jawa Tengah,Bodrex Flu & Batuk,E-commerce,1994.74
2022-04-01,Jawa Tengah,Bodrex Flu & Batuk,Hospitals & Institutions,1324.584
2022-04-01,Jawa Tengah,Hemaviton C1000,General Trade,2456.09
2022-04-01,Jawa Tengah,Hemaviton C1000,Modern Trade,2123.895
2022-04-01,Jawa Tengah,Hemaviton C1000,E-commerce,1460.84
2022-04-01,Jawa Tengah,Hemaviton C1000,Hospitals & Institutions,987.519
2022-04-01,Jawa Tengah,Vidoran Smart,General Trade,2193.443
2022-04-01,Jawa Tengah,Vidoran Smart,Modern Trade,1896.074
2022-04-01,Jawa Tengah,Vidoran Smart,E-commerce,1250.15
2022-04-01,Jawa Tengah,Vidoran Smart,Hospitals & Institutions,836.069
2022-04-01,Jawa Tengah,Marina Skin Care,General Trade,1907.142
2022-04-01,Jawa Tengah,Marina Skin Care,Modern Trade,1672.556
2022-04-01,Jawa Tengah,Marina Skin Care,E-commerce,1142.384
2022-04-01,Jawa Tengah,Marina Skin Care,Hospitals & Institutions,777.577
2022-04-01,Sumatera,Tempra,General Trade,2441.444
2022-04-01,Sumatera,Tempra,Modern Trade,2060.956
2022-04-01,Sumatera,Tempra,E-commerce,1433.638
2022-04-01,Sumatera,Tempra,Hospitals & Institutions,959.628
2022-04-01,Sumatera,Bodrex Flu & Batuk,General Trade,2825.991
2022-04-01,Sumatera,Bodrex Flu & Batuk,Modern Trade,2456.188
2022-04-01,Sumatera,Bodrex Flu & Batuk,E-commerce,1632.692
2022-04-01,Sumatera,Bodrex Flu & Batuk,Hospitals & Institutions,1085.597
2022-04-01,Sumatera,Hemaviton C1000,General Trade,2117.967
2022-04-01,Sumatera,Hemaviton C1000,Modern Trade,1808.19
2022-04-01,Sumatera,Hemaviton C1000,E-commerce,1211.305
2022-04-01,Sumatera,Hemaviton C1000,Hospitals & Institutions,857.497
2022-04-01,Sumatera,Vidoran Smart,General Trade,1777.47
2022-04-01,Sumatera,Vidoran Smart,Modern Trade,1517.908
2022-04-01,Sumatera,Vidoran Smart,E-commerce,1033.618
2022-04-01,Sumatera,Vidoran Smart,Hospitals & Institutions,702.647
2022-04-01,Sumatera,Marina Skin Care,General Trade,1638.453
2022-04-01,Sumatera,Marina Skin Care,Modern Trade,1386.494
2022-04-01,Sumatera,Marina Skin Care,E-commerce,965.27
2022-04-01,Sumatera,Marina Skin Care,Hospitals & Institutions,632.34
2022-04-01,Kalimantan,Tempra,General Trade,1841.691
2022-04-01,Kalimantan,Tempra,Modern Trade,1623.438
2022-04-01,Kalimantan,Tempra,E-commerce,1091.712
2022-04-01,Kalimantan,Tempra,Hospitals & Institutions,725.273
2022-04-01,Kalimantan,Bodrex Flu & Batuk,General Trade,2048.224
2022-04-01,Kalimantan,Bodrex Flu & Batuk,Modern Trade,1829.658
2022-04-01,Kalimantan,Bodrex Flu & Batuk,E-commerce,1205.566
2022-04-01,Kalimantan,Bodrex Flu & Batuk,Hospitals & Institutions,845.248
2022-04-01,Kalimantan,Hemaviton C1000,General Trade,1620.69
2022-04-01,Kalimantan,Hemaviton C1000,Modern Trade,1357.368
2022-04-01,Kalimantan,Hemaviton C1000,E-commerce,933.052
2022-04-01,Kalimantan,Hemaviton C1000,Hospitals & Institutions,627.225
2022-04-01,Kalimantan,Vidoran Smart,General Trade,1374.949
2022-04-01,Kalimantan,Vidoran Smart,Modern Trade,1180.078
2022-04-01,Kalimantan,Vidoran Smart,E-commerce,797.182
2022-04-01,Kalimantan,Vidoran Smart,Hospitals & Institutions,549.046
2022-04-01,Kalimantan,Marina Skin Care,General Trade,1230.341
2022-04-01,Kalimantan,Marina Skin Care,Modern Trade,1050.034
2022-04-01,Kalimantan,Marina Skin Care,E-commerce,722.352
2022-04-01,Kalimantan,Marina Skin Care,Hospitals & Institutions,494.431
2022-04-01,Sulawesi,Tempra,General Trade,1518.331
2022-04-01,Sulawesi,Tempra,Modern Trade,1373.669
2022-04-01,Sulawesi,Tempra,E-commerce,897.702
2022-04-01,Sulawesi,Tempra,Hospitals & Institutions,602.874
2022-04-01,Sulawesi,Bodrex Flu & Batuk,General Trade,1756.74
2022-04-01,Sulawesi,Bodrex Flu & Batuk,Modern Trade,1490.391
2022-04-01,Sulawesi,Bodrex Flu & Batuk,E-commerce,1012.171
2022-04-01,Sulawesi,Bodrex Flu & Batuk,Hospitals & Institutions,702.807
2022-04-01,Sulawesi,Hemaviton C1000,General Trade,1357.599
2022-04-01,Sulawesi,Hemaviton C1000,Modern Trade,1135.538
2022-04-01,Sulawesi,Hemaviton C1000,E-commerce,806.396
2022-04-01,Sulawesi,Hemaviton C1000,Hospitals & Institutions,531.317
2022-04-01,Sulawesi,Vidoran Smart,General Trade,1171.174
2022-04-01,Sulawesi,Vidoran Smart,Modern Trade,996.844
2022-04-01,Sulawesi,Vidoran Smart,E-commerce,655.128
2022-04-01,Sulawesi,Vidoran Smart,Hospitals & Institutions,446.754
2022-04-01,Sulawesi,Marina Skin Care,General Trade,1016.87
2022-04-01,Sulawesi,Marina Skin Care,Modern Trade,872.499
2022-04-01,Sulawesi,Marina Skin Care,E-commerce,602.207
2022-04-01,Sulawesi,Marina Skin Care,Hospitals & Institutions,401.846
2022-05-01,Jawa Barat,Tempra,General Trade,6997.569
2022-05-01,Jawa Barat,Tempra,Modern Trade,6147.174
2022-05-01,Jawa Barat,Tempra,E-commerce,4149.473
